tipo_contrato,puesto,fuente,salario_promedio,empresa,tecnologias,fecha_publicacion,ubicacion
Indefinido,Semi Senior Analista Programador,Datos Simulados España,37784.0,Agencia Digital 58,"Ansible, Kubernetes, React, HTML",2025-06-19,Spain
Freelance,Semi Senior QA Engineer,Datos Simulados España,28281.0,Agencia Digital 78,"React, Ruby on Rails, Terraform",2025-06-19,Spain
Freelance,Lead Data Engineer,Datos Simulados España,65687.0,Empresa de Software 9,"Terraform, MySQL, Flask, MongoDB, Node.js, Jenkins, AWS, Angular",2025-06-19,Spain
Temporal,Principal Analista Programador,Datos Simulados España,61561.0,Empresa de Software 39,"GCP, Node.js, Express, MongoDB, AWS",2025-06-19,Spain
Temporal,Lead Desarrollador Frontend,Datos Simulados España,52949.0,Agencia Digital 72,"Python, Vue.js, SQL, JavaScript, Ruby on Rails, PostgreSQL, Redis, Angular",2025-06-19,Spain
Prácticas,Semi Senior Ingeniero de Software,Datos Simulados España,31841.0,Banco 54,"CSS, Ruby on Rails, ASP.NET, Terraform, Express",2025-06-19,Spain
Prácticas,Junior Desarrollador Backend,Datos Simulados España,26345.0,Empresa Tecnológica 68,"Redis, Terraform, React, C#",2025-06-19,Spain
Indefinido,Director Desarrollador Backend,Datos Simulados España,66052.0,Startup 45,"Ruby on Rails, Kubernetes, PostgreSQL, SASS, MySQL, React, HTML, Spring",2025-06-19,Spain
Prácticas,Lead Technical Lead,Datos Simulados España,61538.0,Consultora IT 22,"Docker, Express, Terraform, SQL, MySQL, PostgreSQL, MongoDB, GCP",2025-06-19,Spain
Indefinido,Lead Desarrollador Full Stack,Datos Simulados España,51053.0,Health Tech 47,"Vue.js, Ansible, Git, Kubernetes",2025-06-19,Spain
Prácticas,Junior Mobile Developer,Datos Simulados España,22037.0,Empresa de Telecomunicaciones 56,"C#, Java, GCP, Kubernetes, React, Azure",2025-06-19,Spain
Temporal,Principal Machine Learning Engineer,Datos Simulados España,66874.0,Startup 20,"Python, MongoDB, PostgreSQL, Django, Java",2025-06-19,Spain
Prácticas,Lead Desarrollador Full Stack,Datos Simulados España,69289.0,Empresa de Telecomunicaciones 5,"AWS, Django, Ruby on Rails, Vue.js, React",2025-06-19,Spain
Temporal,Lead Technical Lead,Datos Simulados España,50669.0,Consultora IT 13,"Azure, GCP, HTML, AWS, PHP, Angular",2025-06-19,Spain
Prácticas,Director Site Reliability Engineer,Datos Simulados España,77256.0,Empresa de Software 89,"Terraform, SQL, PostgreSQL, Ansible, GCP, TypeScript, JavaScript",2025-06-19,Spain
Temporal,Lead Desarrollador Backend,Datos Simulados España,58005.0,Startup 92,"ASP.NET, SASS, Angular, Docker, MySQL, AWS",2025-06-19,Spain
Indefinido,Principal Cloud Engineer,Datos Simulados España,60002.0,Multinacional 98,"Ruby on Rails, HTML, MySQL, PostgreSQL, Azure",2025-06-19,Spain
Indefinido,Semi Senior Desarrollador Full Stack,Datos Simulados España,33721.0,Startup 19,"TypeScript, PHP, Node.js, Azure, JavaScript",2025-06-19,Spain
Temporal,Junior Site Reliability Engineer,Datos Simulados España,19032.0,E-commerce 81,"AWS, Ansible, Java, Python, SQL, Git",2025-06-19,Spain
Freelance,Semi Senior Product Manager,Datos Simulados España,38670.0,Banco 99,"Express, TypeScript, MySQL, Terraform, GCP",2025-06-19,Spain
Freelance,Principal Scrum Master,Datos Simulados España,65674.0,Agencia Digital 4,"Express, Redis, MongoDB",2025-06-19,Spain
Indefinido,Semi Senior Data Engineer,Datos Simulados España,32082.0,Empresa de Software 100,"Angular, SQL, AWS, MongoDB, Node.js, GCP",2025-06-19,Spain
Freelance,Director Site Reliability Engineer,Datos Simulados España,82654.0,Empresa de Telecomunicaciones 37,"TypeScript, Vue.js, JavaScript, Redis",2025-06-19,Spain
Prácticas,Director Mobile Developer,Datos Simulados España,82186.0,Fintech 27,"Java, Vue.js, HTML, Express, JavaScript",2025-06-19,Spain
Freelance,Senior Scrum Master,Datos Simulados España,40406.0,Consultora IT 36,"React, PHP, Vue.js, Express, Jenkins, Node.js",2025-06-19,Spain
Freelance,Director Product Manager,Datos Simulados España,75156.0,Agencia Digital 91,"Azure, Git, Docker, MongoDB, Java, Spring, Kubernetes, Python",2025-06-19,Spain
Temporal,Director Desarrollador Backend,Datos Simulados España,68942.0,Startup 94,"Ruby on Rails, Spring, Vue.js",2025-06-19,Spain
Temporal,Lead DevOps Engineer,Datos Simulados España,69398.0,Aseguradora 37,"CSS, Kubernetes, Git, Jenkins, MongoDB",2025-06-19,Spain
Temporal,Junior Machine Learning Engineer,Datos Simulados España,20326.0,Empresa de Telecomunicaciones 25,"Flask, Docker, MySQL, Express, ASP.NET, TypeScript, Vue.js, Jenkins",2025-06-19,Spain
Freelance,Junior Ingeniero de Software,Datos Simulados España,24515.0,Consultora IT 28,"PostgreSQL, Vue.js, Git, HTML",2025-06-19,Spain
Indefinido,Principal Analista Programador,Datos Simulados España,69306.0,Startup 27,"PostgreSQL, AWS, PHP, JavaScript, Kubernetes",2025-06-19,Spain
Indefinido,Director Analista Programador,Datos Simulados España,87935.0,Health Tech 1,"Python, Ansible, Azure, SASS, Docker",2025-06-19,Spain
Indefinido,Principal Scrum Master,Datos Simulados España,55144.0,Startup 75,"TypeScript, Vue.js, ASP.NET, Git, Django, PHP",2025-06-19,Spain
Indefinido,Director Machine Learning Engineer,Datos Simulados España,87276.0,Startup 9,"Jenkins, PHP, SQL",2025-06-19,Spain
Indefinido,Semi Senior DevOps Engineer,Datos Simulados España,36234.0,Empresa de Software 38,"Python, C#, HTML",2025-06-19,Spain
Temporal,Director Desarrollador Frontend,Datos Simulados España,65980.0,Banco 35,"SASS, Docker, Spring, Terraform, GCP, SQL, HTML",2025-06-19,Spain
Prácticas,Semi Senior QA Engineer,Datos Simulados España,31041.0,Empresa Tecnológica 71,"PHP, Kubernetes, Django, Git, Express, React",2025-06-19,Spain
Freelance,Director Desarrollador Backend,Datos Simulados España,76372.0,Empresa Tecnológica 61,"MySQL, Express, Redis, Jenkins",2025-06-19,Spain
Prácticas,Junior Scrum Master,Datos Simulados España,21122.0,Agencia Digital 23,"SASS, ASP.NET, Node.js, PostgreSQL",2025-06-19,Spain
Freelance,Semi Senior Data Scientist,Datos Simulados España,33149.0,Startup 46,"MongoDB, Redis, Java, Ansible",2025-06-19,Spain
Indefinido,Junior Analista Programador,Datos Simulados España,26617.0,Empresa Tecnológica 18,"MySQL, Docker, C#, AWS, Python, Ruby on Rails",2025-06-19,Spain
Prácticas,Lead Mobile Developer,Datos Simulados España,59809.0,Banco 79,"MySQL, Ruby on Rails, Node.js, Jenkins, PostgreSQL, Kubernetes",2025-06-19,Spain
Freelance,Lead Machine Learning Engineer,Datos Simulados España,69579.0,Multinacional 3,"MySQL, C#, JavaScript",2025-06-19,Spain
Freelance,Semi Senior Analista Programador,Datos Simulados España,31973.0,Health Tech 84,"Express, Spring, Flask, Node.js, React, Redis",2025-06-19,Spain
Prácticas,Lead Machine Learning Engineer,Datos Simulados España,51267.0,Empresa de Telecomunicaciones 80,"Express, Vue.js, Angular",2025-06-19,Spain
Indefinido,Lead Mobile Developer,Datos Simulados España,68776.0,Empresa de Telecomunicaciones 44,"JavaScript, Docker, Redis, Node.js, Ansible, Azure, TypeScript",2025-06-19,Spain
Indefinido,Director Technical Lead,Datos Simulados España,61724.0,Fintech 5,"Angular, Ansible, Java, React",2025-06-19,Spain
Freelance,Director Desarrollador Full Stack,Datos Simulados España,81184.0,Empresa de Telecomunicaciones 24,"TypeScript, Express, Terraform",2025-06-19,Spain
Prácticas,Senior QA Engineer,Datos Simulados España,40384.0,Empresa de Software 76,"CSS, Ansible, GCP, PHP, ASP.NET, Python",2025-06-19,Spain
Temporal,Principal Desarrollador Backend,Datos Simulados España,59127.0,Consultora IT 98,"Git, ASP.NET, HTML, Kubernetes, PostgreSQL, Redis",2025-06-19,Spain
Prácticas,Lead Desarrollador Frontend,Datos Simulados España,55973.0,Startup 94,"PostgreSQL, PHP, Vue.js, HTML, C#, Flask, Node.js",2025-06-19,Spain
Indefinido,Director Machine Learning Engineer,Datos Simulados España,85287.0,Multinacional 33,"Node.js, HTML, PHP, Django, PostgreSQL",2025-06-19,Spain
Freelance,Senior Product Manager,Datos Simulados España,48104.0,Fintech 12,"Java, Azure, MySQL, Kubernetes, Docker, Angular",2025-06-19,Spain
Prácticas,Senior Cloud Engineer,Datos Simulados España,53800.0,Startup 55,"SQL, Java, Ruby on Rails, React, Angular, Vue.js, GCP",2025-06-19,Spain
Temporal,Director Analista Programador,Datos Simulados España,67434.0,Consultora IT 25,"Ruby on Rails, Vue.js, Terraform",2025-06-19,Spain
Temporal,Director Product Manager,Datos Simulados España,78018.0,Health Tech 69,"Flask, SASS, MySQL, Ruby on Rails, PHP, AWS, Redis",2025-06-19,Spain
Indefinido,Lead Mobile Developer,Datos Simulados España,57382.0,Banco 37,"MySQL, Jenkins, React, Ansible, Angular, Node.js, Express, C#",2025-06-19,Spain
Freelance,Principal Arquitecto de Software,Datos Simulados España,64895.0,Health Tech 84,"ASP.NET, Docker, SASS",2025-06-19,Spain
