titulo,empresa,ubicacion,fecha_publicacion,tipo_contrato,jornada,salario,salario_min,salario_max,salario_promedio,descripcion,categoria,tecnologias,url,id,fuente,fecha_extraccion
Backend Developer Node.js,CloudNative,Barcelona,2025-05-06,Prácticas,Parcial,47000 - 63000 €,47000.0,63000.0,55000.0,"Estamos buscando un profesional con experiencia en Jira, JavaScript, Scrum, Vue.js, CI/CD, Node.js, MySQL. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"Jira, JavaScript, Scrum, Vue.js, CI/CD, Node.js, MySQL",https://www.ejemplo.com/job/1000,job-1000,Adzuna (Simulado),2025-05-18 13:11:27.076933
UX/UI Designer,GlobalTech,Málaga,2025-05-11,Freelance,Completa,46000 - 92000 €,46000.0,92000.0,69000.0,"Estamos buscando un profesional con experiencia en AWS, Git, Linux, GitHub Actions, Python, Agile, Jira. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"AWS, Git, Linux, GitHub Actions, Python, Agile, Jira",https://www.ejemplo.com/job/1001,job-1001,Adzuna (Simulado),2025-05-18 13:11:27.076933
CTO,CloudNative,Madrid,2025-05-14,Completa,Completa,50000 - 85000 €,50000.0,85000.0,67500.0,"Estamos buscando un profesional con experiencia en Git, Angular, Docker, Agile, Scrum, Python. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Git, Angular, Docker, Agile, Scrum, Python",https://www.ejemplo.com/job/1002,job-1002,Adzuna (Simulado),2025-05-18 13:11:27.076933
Data Engineer,TechCorp,Barcelona,2025-05-17,Indefinido,Parcial,72000 - 120000 €,72000.0,120000.0,96000.0,"Estamos buscando un profesional con experiencia en Scrum, Jira, MySQL, GitHub Actions, Spring, Angular, Docker. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",UX/UI,"Scrum, Jira, MySQL, GitHub Actions, Spring, Angular, Docker",https://www.ejemplo.com/job/1003,job-1003,Adzuna (Simulado),2025-05-18 13:11:27.076933
Data Scientist,IntelliSoft,Híbrido (Barcelona),2025-05-13,Temporal,Completa,61000 - 77000 €,61000.0,77000.0,69000.0,"Estamos buscando un profesional con experiencia en Node.js, Scrum, GCP, Angular, Django. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Node.js, Scrum, GCP, Angular, Django",https://www.ejemplo.com/job/1004,job-1004,Adzuna (Simulado),2025-05-18 13:11:27.076933
Cybersecurity Analyst,ElectronMinds,Zaragoza,2025-04-22,Indefinido,Parcial,46000 - 93000 €,46000.0,93000.0,69500.0,"Estamos buscando un profesional con experiencia en GCP, Kubernetes, Azure, TypeScript, Express, MySQL. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"GCP, Kubernetes, Azure, TypeScript, Express, MySQL",https://www.ejemplo.com/job/1005,job-1005,Adzuna (Simulado),2025-05-18 13:11:27.076933
Mobile Developer,JavaPros,Madrid,2025-05-06,Prácticas,Completa,66000 - 73000 €,66000.0,73000.0,69500.0,"Estamos buscando un profesional con experiencia en Kubernetes, Agile, Django, GitLab. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"Kubernetes, Agile, Django, GitLab",https://www.ejemplo.com/job/1006,job-1006,Adzuna (Simulado),2025-05-18 13:11:27.076933
Frontend Developer React,ByteLogic,Málaga,2025-05-15,Indefinido,Completa,42000 - 57000 €,42000.0,57000.0,49500.0,"Estamos buscando un profesional con experiencia en Docker, JavaScript, Java, CI/CD, Vue.js. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Docker, JavaScript, Java, CI/CD, Vue.js",https://www.ejemplo.com/job/1007,job-1007,Adzuna (Simulado),2025-05-18 13:11:27.076933
Data Engineer,KernelLabs,Remoto,2025-05-02,Indefinido,Completa,27000 - 47000 €,27000.0,47000.0,37000.0,"Estamos buscando un profesional con experiencia en PostgreSQL, Docker, CI/CD. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"PostgreSQL, Docker, CI/CD",https://www.ejemplo.com/job/1008,job-1008,Adzuna (Simulado),2025-05-18 13:11:27.076933
Software Architect,TechCorp,Zaragoza,2025-04-24,Temporal,Completa,52000 - 58000 €,52000.0,58000.0,55000.0,"Estamos buscando un profesional con experiencia en Spring, CI/CD, Django, SQL, JavaScript, Java. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Data Science,"Spring, CI/CD, Django, SQL, JavaScript, Java",https://www.ejemplo.com/job/1009,job-1009,Adzuna (Simulado),2025-05-18 13:11:27.076933
Machine Learning Engineer,IntelliSoft,Híbrido (Barcelona),2025-05-12,Completa,Completa,58000 - 68000 €,58000.0,68000.0,63000.0,"Estamos buscando un profesional con experiencia en Python, Git, SQL, CI/CD, Node.js, MySQL, AWS. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",DevOps,"Python, Git, SQL, CI/CD, Node.js, MySQL, AWS",https://www.ejemplo.com/job/1010,job-1010,Adzuna (Simulado),2025-05-18 13:11:27.076933
Mobile Developer,DevFusion,Remoto,2025-04-21,Completa,Parcial,75000 - 96000 €,75000.0,96000.0,85500.0,"Estamos buscando un profesional con experiencia en Express, Flask, Azure, Angular. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",IT Jobs,"Express, Flask, Azure, Angular",https://www.ejemplo.com/job/1011,job-1011,Adzuna (Simulado),2025-05-18 13:11:27.076933
Machine Learning Engineer,TechCorp,Málaga,2025-04-26,Prácticas,Parcial,72000 - 77000 €,72000.0,77000.0,74500.0,"Estamos buscando un profesional con experiencia en Docker, PostgreSQL, TypeScript, Python, Git, Node.js. La persona seleccionada se incorporará a un equipo dinámico para desarrollar soluciones tecnológicas innovadoras. Se requiere experiencia de 2+ años, capacidad de trabajo en equipo y metodologías ágiles.",Desarrollo de Software,"Docker, PostgreSQL, TypeScript, Python, Git, Node.js",https://www.ejemplo.com/job/1012,job-1012,Adzuna (Simulado),2025-05-18 13:11:27.076933
