titulo,empresa,ubicacion,fecha_publicacion,tipo_contrato,jornada,salario,salario_min,salario_max,experiencia,nivel,descripcion,requisitos,tecnologias,url,fecha_extraccion
Scrum Master Lead,JavaPros,Híbrido (Valencia),22/04/2025,Por obra y servicio,Flexible,49000 - 75000 € Bruto/año,49000.0,75000.0,8-12 años,Lead,"Buscamos un Lead desarrollador/a con experiencia en Java, Express.js, Snowflake para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 8-12 años con Java
- Conocimientos de Express.js
- Conocimientos de Snowflake
- Conocimientos de Ansible
- Liderazgo
- Creatividad
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Java, Express.js, Snowflake, Ansible, ELK Stack, Confluence","['Java', 'Express.js', 'Snowflake', 'Ansible', 'ELK Stack', 'Confluence']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Arquitecto/a de Software Principal,JavaPros,Valencia,18/04/2025,Formativo,Parcial (tardes),79000 - 122000 € Bruto/año,79000.0,122000.0,15+ años,Principal,"Buscamos un Principal desarrollador/a con experiencia en PHP, Symfony, Cassandra para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 15+ años con PHP
- Conocimientos de Symfony
- Conocimientos de Cassandra
- Conocimientos de BigQuery
- Scrum
- Pensamiento crítico
- Resiliencia


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","PHP, Symfony, Cassandra, BigQuery, Terraform","['PHP', 'Symfony', 'Cassandra', 'BigQuery', 'Terraform']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Desarrollador/a Flutter Semisenior,DataMind,Alicante,21/04/2025,Formativo,Parcial (tardes),26000 - 39000 € Bruto/año,26000.0,39000.0,2-4 años,Semisenior,"Empresa líder en el sector tecnológico busca Semisenior programador/a con conocimientos de JavaScript, Angular, Ruby on Rails para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 2-4 años con JavaScript
- Conocimientos de Angular
- Conocimientos de Ruby on Rails
- Conocimientos de Oracle
- Scrum
- Resolución de problemas
- Creatividad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","JavaScript, Angular, Ruby on Rails, Oracle, Redis, Ansible","['JavaScript', 'Angular', 'Ruby on Rails', 'Oracle', 'Redis', 'Ansible']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Desarrollador/a Kotlin Junior,ReactMasters,Bilbao,30/04/2025,Prácticas,Por horas,18000 - 28000 € Bruto/año,18000.0,28000.0,0-2 años,Junior,"¿Te apasiona la tecnología? Únete a nuestro equipo como Junior especialista en Kotlin, React, Flutter. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 0-2 años con Kotlin
- Conocimientos de React
- Conocimientos de Flutter
- Conocimientos de Ruby on Rails
- Metodologías ágiles
- Gestión del tiempo
- Pensamiento crítico


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Kotlin, React, Flutter, Ruby on Rails, Couchbase, Confluence","['Kotlin', 'React', 'Flutter', 'Ruby on Rails', 'Couchbase', 'Confluence']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Security Engineer Staff,SecureTech,Madrid,25/04/2025,Por obra y servicio,Completa,64000 - 86000 € Bruto/año,64000.0,86000.0,10-15 años,Staff,"¿Buscas un nuevo desafío profesional? Necesitamos un Staff ingeniero/a con experiencia en Kotlin, Vue.js, Neo4j para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 10-15 años con Kotlin
- Conocimientos de Vue.js
- Conocimientos de Neo4j
- Conocimientos de DynamoDB
- Adaptabilidad
- Gestión del tiempo
- Capacidad analítica


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Kotlin, Vue.js, Neo4j, DynamoDB, Grafana","['Kotlin', 'Vue.js', 'Neo4j', 'DynamoDB', 'Grafana']",https://ejemplo.com/oferta-1,2025-05-18 12:46:39.608051
Network Engineer Staff,YieldTech,Málaga,24/04/2025,Mercantil,Por horas,66000 - 85000 € Bruto/año,66000.0,85000.0,10-15 años,Staff,"Buscamos un Staff desarrollador/a con experiencia en Swift, Flutter, React para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 10-15 años con Swift
- Conocimientos de Flutter
- Conocimientos de React
- Conocimientos de PyTorch
- Metodologías ágiles
- Capacidad analítica
- Scrum


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Swift, Flutter, React, PyTorch, Neo4j, BigQuery, Confluence, Prometheus, Postman","['Swift', 'Flutter', 'React', 'PyTorch', 'Neo4j', 'BigQuery', 'Confluence', 'Prometheus', 'Postman']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
Backend Developer Senior,UXPioneer,Híbrido (Valencia),04/05/2025,Temporal,Parcial (mañanas),39000 - 61000 € Bruto/año,39000.0,61000.0,4-8 años,Senior,"¿Te apasiona la tecnología? Únete a nuestro equipo como Senior especialista en JavaScript, Ruby on Rails, MariaDB. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 4-8 años con JavaScript
- Conocimientos de Ruby on Rails
- Conocimientos de MariaDB
- Conocimientos de AWS
- Metodologías ágiles
- Creatividad
- Trabajo en equipo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","JavaScript, Ruby on Rails, MariaDB, AWS, Prometheus","['JavaScript', 'Ruby on Rails', 'MariaDB', 'AWS', 'Prometheus']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Technical Lead Principal,HyperData,Málaga,18/05/2025,Mercantil,Flexible,81000 - 120000 € Bruto/año,81000.0,120000.0,15+ años,Principal,"Buscamos un Principal desarrollador/a con experiencia en Scala, Laravel, SQLite para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 15+ años con Scala
- Conocimientos de Laravel
- Conocimientos de SQLite
- Conocimientos de Ansible
- Liderazgo
- Adaptabilidad
- Gestión del tiempo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Scala, Laravel, SQLite, Ansible, Google Cloud","['Scala', 'Laravel', 'SQLite', 'Ansible', 'Google Cloud']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Arquitecto/a de Software Senior,YieldTech,Remoto (España),18/05/2025,Temporal,Parcial (tardes),39000 - 58000 € Bruto/año,39000.0,58000.0,4-8 años,Senior,"¿Buscas un nuevo desafío profesional? Necesitamos un Senior ingeniero/a con experiencia en Ruby, Spring Boot, SQL Server para desarrollar soluciones escalables y de alta calidad.

Requisitos:
- Experiencia de 4-8 años con Ruby
- Conocimientos de Spring Boot
- Conocimientos de SQL Server
- Conocimientos de Jenkins
- Gestión del tiempo
- Pensamiento crítico
- Metodologías ágiles


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Ruby, Spring Boot, SQL Server, Jenkins, Terraform","['Ruby', 'Spring Boot', 'SQL Server', 'Jenkins', 'Terraform']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Desarrollador/a Angular Senior,ZenithCode,Alicante,20/04/2025,Freelance,Fin de semana,37000 - 58000 € Bruto/año,37000.0,58000.0,4-8 años,Senior,"Empresa líder en el sector tecnológico busca Senior programador/a con conocimientos de Ruby, Flask, MongoDB para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 4-8 años con Ruby
- Conocimientos de Flask
- Conocimientos de MongoDB
- Conocimientos de PostgreSQL
- Adaptabilidad
- Metodologías ágiles
- Trabajo en equipo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Ruby, Flask, MongoDB, PostgreSQL, Confluence, Google Cloud","['Ruby', 'Flask', 'MongoDB', 'PostgreSQL', 'Confluence', 'Google Cloud']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
IT Project Manager Junior,QuantumSystems,Híbrido (Valencia),09/05/2025,Indefinido,Intensiva,18000 - 27000 € Bruto/año,18000.0,27000.0,0-2 años,Junior,"Empresa líder en el sector tecnológico busca Junior programador/a con conocimientos de Java, Flutter, Express.js para importante proyecto. Valoramos la proactividad y el trabajo en equipo.

Requisitos:
- Experiencia de 0-2 años con Java
- Conocimientos de Flutter
- Conocimientos de Express.js
- Conocimientos de FastAPI
- Resiliencia
- Liderazgo
- Resolución de problemas


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Java, Flutter, Express.js, FastAPI, SQLite, Google Cloud, Prometheus","['Java', 'Flutter', 'Express.js', 'FastAPI', 'SQLite', 'Google Cloud', 'Prometheus']",https://ejemplo.com/oferta-2,2025-05-18 12:46:39.608051
Cloud Architect Staff,TechSolutions,Remoto (España),28/04/2025,Prácticas,Intensiva,63000 - 85000 € Bruto/año,63000.0,85000.0,10-15 años,Staff,"¿Te apasiona la tecnología? Únete a nuestro equipo como Staff especialista en Java, Spring Boot, Symfony. Ofrecemos un ambiente de trabajo dinámico y posibilidades de crecimiento.

Requisitos:
- Experiencia de 10-15 años con Java
- Conocimientos de Spring Boot
- Conocimientos de Symfony
- Conocimientos de Couchbase
- Capacidad analítica
- Resolución de problemas
- Adaptabilidad


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Java, Spring Boot, Symfony, Couchbase, Ansible, Postman, Prometheus","['Java', 'Spring Boot', 'Symfony', 'Couchbase', 'Ansible', 'Postman', 'Prometheus']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
IT Project Manager Semisenior,NetArchitects,Murcia,20/04/2025,Mercantil,Intensiva,27000 - 36000 € Bruto/año,27000.0,36000.0,2-4 años,Semisenior,"Buscamos un Semisenior desarrollador/a con experiencia en Java, Django, React para unirse a nuestro equipo. Trabajarás en proyectos innovadores utilizando las últimas tecnologías.

Requisitos:
- Experiencia de 2-4 años con Java
- Conocimientos de Django
- Conocimientos de React
- Conocimientos de Cassandra
- Pensamiento crítico
- Metodologías ágiles
- Trabajo en equipo


Ofrecemos:
- Contrato estable
- Horario flexible
- Posibilidad de trabajar en remoto
- Formación continua
- Buen ambiente de trabajo
","Java, Django, React, Cassandra, Azure, ELK Stack, Confluence","['Java', 'Django', 'React', 'Cassandra', 'Azure', 'ELK Stack', 'Confluence']",https://ejemplo.com/oferta-3,2025-05-18 12:46:39.608051
